Timestamp,Transaction_Type,MIN,P50%,P95%,P99%,MAX
22:48:43,PAYMENT,1233,1742,3098,170286,232324
22:48:43,SLEV,1650,1916,2082,2115,2115
22:48:43,DELIVERY,3382,3850.5,4379,4379,4379
22:48:43,OSTAT,722,834,1126,1127,1127
22:48:45,NEWORD,1522,2700.5,32166,165007,234770
22:48:45,PAYMENT,1337,1785,5362,51793,231584
22:48:45,SLEV,1634,1809,1919,2672,2672
22:48:45,DELIVERY,3157,3678.5,4421,22040,22040
22:48:45,OSTAT,712,958,1348,1348,1348
22:48:47,NEWORD,1961,2727,4086,103428,188219
22:48:47,PAYMENT,1146,1755.5,5928,116384,155587
22:48:47,SLEV,1660,1800,2200,2241,2241
22:48:47,DELIVERY,3144,3855.5,197143,197143,197143
22:48:47,OSTAT,581,983,1329,1673,1673
22:48:49,NEWORD,1887,2707,3737,211333,234758
22:48:49,PAYMENT,1362,1717,2519,99471,244728
22:48:49,SLEV,1576,1779,1993,2172,2172
22:48:49,DELIVERY,3133,3548,4582,208546,208546
22:48:49,OSTAT,720,925,1001,1048,1048
22:48:51,NEWORD,1775,2675,4300,200655,226815
22:48:51,PAYMENT,1372,1732.5,2726,127438,129802
22:48:51,SLEV,1811,1831,1887,1887,1887
22:48:51,DELIVERY,2990,3580,4089,32262,32262
22:48:51,OSTAT,697,944,1263,1319,1319
22:48:53,NEWORD,1804,2730,4366,175106,200424
22:48:53,PAYMENT,1308,1721,2614,191753,193971
22:48:53,SLEV,1628,1814,2101,2101,2101
22:48:53,DELIVERY,3052,3560.5,8443,84664,84664
22:48:53,OSTAT,634,821,1390,1621,1621
22:48:55,NEWORD,1823,2624,18306,182830,187025
22:48:55,PAYMENT,1325,1731,4745,102209,112945
22:48:55,SLEV,1735,1875.5,2732,2732,2732
22:48:55,DELIVERY,3138,3812,20341,20341,20341
22:48:55,OSTAT,672,801,1321,1362,1362
22:48:57,NEWORD,1856,2716,3992,91158,281068
22:48:57,PAYMENT,1378,1783,79083,181559,309766
22:48:57,SLEV,1761,1859.5,3006,3006,3006
22:48:57,DELIVERY,3110,3757,29587,29587,29587
22:48:57,OSTAT,719,835,1184,1184,1184
22:48:59,NEWORD,1774,2449,3732,84553,209503
22:48:59,PAYMENT,1317,1777,2485,155197,226484
22:48:59,SLEV,1622,1840,1931,2609,2609
22:48:59,DELIVERY,3055,3424,3927,4307,4307
22:48:59,OSTAT,645,819,1051.5,1076,1076
22:49:01,NEWORD,1648,2683,3826,137655,222830
22:49:01,PAYMENT,1254,1649,2516,140347,214753
22:49:01,SLEV,1653,1830,2053,2150,2150
22:49:01,DELIVERY,2922,3820,4711,4711,4711
22:49:01,OSTAT,709,854,1032,1131,1131
22:49:03,NEWORD,1893,2390,219271,254774,254774
22:49:03,PAYMENT,1354,1637.5,136486,169055,169055
22:49:03,SLEV,1658,1806,2117,2117,2117
22:49:03,DELIVERY,3221,3342,3463,3463,3463
22:49:03,OSTAT,658,856,1276,1276,1276
22:49:05,NEWORD,1881,2544,3764,102956,167801
22:49:05,PAYMENT,1343,1760,13300,188259,212798
22:49:05,SLEV,1652,1864.5,2014,2090,2090
22:49:05,DELIVERY,3045,3453,4248,185096,185096
22:49:05,OSTAT,716,834,966,966,966
22:49:07,NEWORD,1729,2473.5,3698,102716,179166
22:49:07,PAYMENT,1267,1680,2573,77619,210793
22:49:07,SLEV,1680,1827,1956,2001,2001
22:49:07,DELIVERY,3065,3382.5,3615,4043,4043
22:49:07,OSTAT,683,855,1123,1187,1187
22:49:09,NEWORD,1812,2508,16660,164766,184219
22:49:09,PAYMENT,1270,1694.5,2864,90854,223900
22:49:09,SLEV,1606,1729.5,1976,2010,2010
22:49:09,DELIVERY,2764,3363,3999,4693,4693
22:49:09,OSTAT,652,868,1073,2099,2099
22:49:11,NEWORD,1748,2386,16207,200670,217204
22:49:11,PAYMENT,1259,1605,15164,90572,175825
22:49:11,SLEV,1681,1836.5,1963,1999,1999
22:49:11,DELIVERY,3118,3515,17283,20135,20135
22:49:11,OSTAT,681,765.5,982,982,982
22:49:13,NEWORD,1983,2720.5,91876,174807,225911
22:49:13,PAYMENT,1509,1917,161715,262555,262555
22:49:13,SLEV,1590,1878,2191,2191,2191
22:49:13,DELIVERY,2838,3390,5604,5604,5604
22:49:13,OSTAT,854,1106,1126,1126,1126
22:49:15,NEWORD,17844,22493,174095,199961,199961
22:49:15,PAYMENT,10536,19783.5,208599,226210,226210
22:49:15,SLEV,2050,2050,2050,2050,2050
22:49:15,DELIVERY,20852,26181.5,31511,31511,31511
22:49:15,OSTAT,857,986.5,1116,1116,1116
22:49:17,NEWORD,1813,2489,8964,125536,213335
22:49:17,PAYMENT,1444,1701,17334,198696,226287
22:49:17,SLEV,1681,1791,2026,2026,2026
22:49:17,DELIVERY,3045,3704,71244,213791,213791
22:49:17,OSTAT,641,840,1222,1222,1222
22:49:19,NEWORD,1697,2503,17035,96410,100803
22:49:19,PAYMENT,1291,1646,3099,158754,160018
22:49:19,SLEV,1654,1838,2218,2264,2264
22:49:19,DELIVERY,2922,3544,4219,201835,201835
22:49:19,OSTAT,727,876,1131,1178,1178
22:49:21,NEWORD,1777,2390,4253,94037,213970
22:49:21,PAYMENT,1300,1687,2654,88185,182306
22:49:21,SLEV,1773,1888,2082,2082,2082
22:49:21,DELIVERY,2754,3472,182445,182445,182445
22:49:21,OSTAT,673,893,990,1080,1080
22:49:23,NEWORD,1763,2516,29560,171249,250052
22:49:23,PAYMENT,1218,1734,2827,175574,224211
22:49:23,SLEV,1682,1832.5,2013,2739,2739
22:49:23,DELIVERY,2994,3358,4604,17784,17784
22:49:23,OSTAT,686,860,1132,1299,1299
22:49:25,NEWORD,1752,2448,3656,79574,213345
22:49:25,PAYMENT,1258,1691.5,2510,87776,172847
22:49:25,SLEV,1538,1746,1864,1939,1939
22:49:25,DELIVERY,2643,3265,3783,3963,3963
22:49:25,OSTAT,584,819,940,1064,1064
22:49:27,NEWORD,1698,2377.5,20308,191188,201885
22:49:27,PAYMENT,1292,1670.5,15214,143746,208211
22:49:27,SLEV,1649,1805.5,2292,2624,2624
22:49:27,DELIVERY,3155,3582,72209,72209,72209
22:49:27,OSTAT,746,886.5,1474,1474,1474
22:49:29,NEWORD,1528,2444,84331,192876,218471
22:49:29,PAYMENT,1206,1626,2157,94439,197096
22:49:29,SLEV,1575,1799,1983,2032,2032
22:49:29,DELIVERY,3092,3363,3762,3977,3977
22:49:29,OSTAT,679,888.5,961,961,961
22:49:31,NEWORD,1751,2370,89911,212191,228804
22:49:31,PAYMENT,1432,1716.5,23781,37044,208984
22:49:31,SLEV,1587,1794,1890,1890,1890
22:49:31,DELIVERY,3006,3662,10544,159922,159922
22:49:31,OSTAT,697,905.5,1121,1206,1206
22:49:33,NEWORD,24989,122409,195634,248858,248858
22:49:33,PAYMENT,9620,42173,184347,184347,184347
22:49:33,SLEV,1824,1886,2039,2039,2039
22:49:35,NEWORD,1857,2589.5,18750,101244,126614
22:49:35,PAYMENT,1315,1844.5,4245,202400,311976
22:49:35,SLEV,1639,1790.5,2032,2032,2032
22:49:35,DELIVERY,3003,3613,167605,167605,167605
22:49:35,OSTAT,831,943,1166,1235,1235
22:49:37,NEWORD,1658,2497,3231.5,85326,165531
22:49:37,PAYMENT,1338,1704.5,11063,151588,207621
22:49:37,SLEV,1673,1844,2082,2181,2181
22:49:37,DELIVERY,2790,3639.5,4756,61400,61400
22:49:37,OSTAT,649,836,959,1467,1467
22:49:39,NEWORD,1605,2400,3320,177004,182498
22:49:39,PAYMENT,1371,1713.5,2262,80470,195408
22:49:39,SLEV,1603,1777,2088,2207,2207
22:49:39,DELIVERY,2767,3318.5,3744,3998,3998
22:49:39,OSTAT,623,888,976,1124,1124
22:49:41,NEWORD,1699,2416.5,3214,88299,96566
22:49:41,PAYMENT,1363,1766,16605,173702,175565
22:49:41,SLEV,1535,1762,2008,2155,2155
22:49:41,DELIVERY,2705,3591,4156,81262,81262
22:49:41,OSTAT,693,886,966,1019,1019
22:49:43,NEWORD,1796,2459,16953,183934,185138
22:49:43,PAYMENT,1403,1838,13160,83990,84866
22:49:43,SLEV,1645,1757,2302,2380,2380
22:49:43,DELIVERY,2743,3470,4333,91137,91137
22:49:43,OSTAT,739,1059,1176,1176,1176
22:49:45,NEWORD,1680,2368.5,3430,182809,262009
22:49:45,PAYMENT,1243,1693,2325,91373,191385
22:49:45,SLEV,1666,1848,2484,2509,2509
22:49:45,DELIVERY,2780,3174.5,76530,162572,162572
22:49:45,OSTAT,713,799,1223,1223,1223
22:49:47,NEWORD,1865,2423,4132,161436,192800
22:49:47,PAYMENT,1301,1736,2307,94332,209353
22:49:47,SLEV,1636,1794,2148,2179,2179
22:49:47,DELIVERY,2986,3399,4131,4131,4131
22:49:47,OSTAT,764,931.5,1133,1326,1326
22:49:49,NEWORD,1698,2342,40861,182216,192766
22:49:49,PAYMENT,1277,1714,33692,101091,153021
22:49:49,SLEV,1699,1798.5,2028,2028,2028
22:49:49,DELIVERY,2879,3334.5,3756,3756,3756
22:49:49,OSTAT,830,1013,1332,1356,1356
22:49:51,NEWORD,2269,20957,204331,245216,245216
22:49:51,PAYMENT,1594,17721,150237,202514,202514
22:49:51,SLEV,1626,1839,2288,2288,2288
22:49:51,DELIVERY,3585,3622,3623,3623,3623
22:49:51,OSTAT,1091,1091,1091,1091,1091
22:49:53,NEWORD,1694,2413,3634,68304,157319
22:49:53,PAYMENT,1356,1803,14512,87686,176577
22:49:53,SLEV,1717,1929,2082,18264,18264
22:49:53,DELIVERY,2938,3524.5,18053,148515,148515
22:49:53,OSTAT,736,1019,1205,1292,1292
22:49:55,NEWORD,1839,2422,3178,87506,169107
22:49:55,PAYMENT,1356,1824.5,47449,192863,198126
22:49:55,SLEV,1720,1873,2219,2315,2315
22:49:55,DELIVERY,2770,3341,3821,4761,4761
22:49:55,OSTAT,742,900.5,1066,17562,17562
22:49:57,NEWORD,1656,2268,3122,184898,194904
22:49:57,PAYMENT,1221,1691,2456,176148,182751
22:49:57,SLEV,1677,1789,1958,1976,1976
22:49:57,DELIVERY,3018,3315,4097,4097,4097
22:49:57,OSTAT,616,837.5,1103,1195,1195
22:49:59,NEWORD,1730,2390,3434,182462,194274
22:49:59,PAYMENT,1226,1724,2342,164229,201793
22:49:59,SLEV,1783,2009,2229,2229,2229
22:49:59,DELIVERY,3189,3491,3781,3816,3816
22:49:59,OSTAT,635,924,1250.5,1275,1275
