Time,Container ID,CPU Usage (%),Memory Usage
2024-03-12 10:28:32,590e7c9e393e,22.35%,1016MiB / 31.34GiB
2024-03-12 10:28:34,590e7c9e393e,26.11%,1016MiB / 31.34GiB
2024-03-12 10:28:36,590e7c9e393e,25.94%,1019MiB / 31.34GiB
2024-03-12 10:28:38,590e7c9e393e,13.40%,1001MiB / 31.34GiB
2024-03-12 10:28:40,590e7c9e393e,17.35%,1001MiB / 31.34GiB
2024-03-12 10:28:42,590e7c9e393e,18.37%,1001MiB / 31.34GiB
2024-03-12 10:28:44,590e7c9e393e,16.16%,1002MiB / 31.34GiB
2024-03-12 10:28:46,590e7c9e393e,2.41%,1002MiB / 31.34GiB
2024-03-12 10:28:48,590e7c9e393e,13.20%,1002MiB / 31.34GiB
2024-03-12 10:28:50,590e7c9e393e,14.93%,1003MiB / 31.34GiB
2024-03-12 10:28:52,590e7c9e393e,10.03%,1003MiB / 31.34GiB
2024-03-12 10:28:54,590e7c9e393e,12.26%,1003MiB / 31.34GiB
2024-03-12 10:28:56,590e7c9e393e,14.36%,1003MiB / 31.34GiB
2024-03-12 10:28:58,590e7c9e393e,18.08%,1004MiB / 31.34GiB
2024-03-12 10:29:00,590e7c9e393e,15.52%,1004MiB / 31.34GiB
2024-03-12 10:29:02,590e7c9e393e,15.12%,1004MiB / 31.34GiB
2024-03-12 10:29:05,590e7c9e393e,4.06%,1005MiB / 31.34GiB
2024-03-12 10:29:07,590e7c9e393e,2.34%,1004MiB / 31.34GiB
2024-03-12 10:29:09,590e7c9e393e,2.21%,1004MiB / 31.34GiB
2024-03-12 10:29:11,590e7c9e393e,20.30%,1005MiB / 31.34GiB
2024-03-12 10:29:13,590e7c9e393e,17.25%,1005MiB / 31.34GiB
2024-03-12 10:29:15,590e7c9e393e,14.29%,1006MiB / 31.34GiB
2024-03-12 10:29:17,590e7c9e393e,19.35%,1006MiB / 31.34GiB
2024-03-12 10:29:19,590e7c9e393e,13.49%,1006MiB / 31.34GiB
2024-03-12 10:29:21,590e7c9e393e,5.48%,1006MiB / 31.34GiB
2024-03-12 10:29:23,590e7c9e393e,15.05%,1007MiB / 31.34GiB
2024-03-12 10:29:25,590e7c9e393e,17.38%,1007MiB / 31.34GiB
2024-03-12 10:29:27,590e7c9e393e,1.76%,1007MiB / 31.34GiB
2024-03-12 10:29:29,590e7c9e393e,22.06%,1007MiB / 31.34GiB
2024-03-12 10:29:31,590e7c9e393e,18.36%,1008MiB / 31.34GiB
2024-03-12 10:29:33,590e7c9e393e,17.54%,1008MiB / 31.34GiB
2024-03-12 10:29:35,590e7c9e393e,15.03%,1008MiB / 31.34GiB
2024-03-12 10:29:37,590e7c9e393e,13.51%,1009MiB / 31.34GiB
2024-03-12 10:29:39,590e7c9e393e,21.52%,1009MiB / 31.34GiB
2024-03-12 10:29:41,590e7c9e393e,24.84%,1009MiB / 31.34GiB
2024-03-12 10:29:43,590e7c9e393e,5.15%,1010MiB / 31.34GiB
2024-03-12 10:29:45,590e7c9e393e,2.79%,1010MiB / 31.34GiB
2024-03-12 10:29:47,590e7c9e393e,2.68%,1010MiB / 31.34GiB
2024-03-12 10:29:49,590e7c9e393e,19.61%,1010MiB / 31.34GiB
2024-03-12 10:29:51,590e7c9e393e,16.67%,1010MiB / 31.34GiB
2024-03-12 10:29:53,590e7c9e393e,5.42%,1010MiB / 31.34GiB
2024-03-12 10:29:55,590e7c9e393e,22.80%,1011MiB / 31.34GiB
2024-03-12 10:29:57,590e7c9e393e,8.12%,1011MiB / 31.34GiB
2024-03-12 10:29:59,590e7c9e393e,19.89%,1011MiB / 31.34GiB
2024-03-12 10:30:01,590e7c9e393e,18.01%,1011MiB / 31.34GiB
2024-03-12 10:30:03,590e7c9e393e,16.51%,1012MiB / 31.34GiB
2024-03-12 10:30:05,590e7c9e393e,17.79%,1012MiB / 31.34GiB
2024-03-12 10:30:07,590e7c9e393e,18.74%,1012MiB / 31.34GiB
2024-03-12 10:30:09,590e7c9e393e,15.57%,1013MiB / 31.34GiB
2024-03-12 10:30:11,590e7c9e393e,20.03%,1013MiB / 31.34GiB
2024-03-12 10:30:13,590e7c9e393e,21.57%,1013MiB / 31.34GiB
2024-03-12 10:30:15,590e7c9e393e,17.18%,1014MiB / 31.34GiB
2024-03-12 10:30:17,590e7c9e393e,14.06%,1014MiB / 31.34GiB
2024-03-12 10:30:19,590e7c9e393e,2.27%,1014MiB / 31.34GiB
2024-03-12 10:30:21,590e7c9e393e,3.75%,1014MiB / 31.34GiB
2024-03-12 10:30:23,590e7c9e393e,8.44%,1014MiB / 31.34GiB
2024-03-12 10:30:25,590e7c9e393e,9.35%,1014MiB / 31.34GiB
2024-03-12 10:30:27,590e7c9e393e,1.61%,1014MiB / 31.34GiB
2024-03-12 10:30:29,590e7c9e393e,6.49%,1015MiB / 31.34GiB
2024-03-12 10:30:31,590e7c9e393e,11.76%,1015MiB / 31.34GiB
2024-03-12 10:30:33,590e7c9e393e,10.92%,1015MiB / 31.34GiB
2024-03-12 10:30:35,590e7c9e393e,11.04%,1015MiB / 31.34GiB
2024-03-12 10:30:37,590e7c9e393e,11.08%,1015MiB / 31.34GiB
2024-03-12 10:30:39,590e7c9e393e,9.65%,1016MiB / 31.34GiB
2024-03-12 10:30:41,590e7c9e393e,13.01%,1016MiB / 31.34GiB
2024-03-12 10:30:43,590e7c9e393e,12.10%,1016MiB / 31.34GiB
2024-03-12 10:30:45,590e7c9e393e,14.61%,1016MiB / 31.34GiB
2024-03-12 10:30:47,590e7c9e393e,15.39%,1016MiB / 31.34GiB
2024-03-12 10:30:49,590e7c9e393e,13.10%,1017MiB / 31.34GiB
2024-03-12 10:30:51,590e7c9e393e,12.87%,1017MiB / 31.34GiB
2024-03-12 10:30:53,590e7c9e393e,12.44%,1017MiB / 31.34GiB
2024-03-12 10:30:55,590e7c9e393e,12.58%,1017MiB / 31.34GiB
2024-03-12 10:30:57,590e7c9e393e,2.70%,1017MiB / 31.34GiB
2024-03-12 10:30:59,590e7c9e393e,1.38%,1017MiB / 31.34GiB
2024-03-12 10:31:01,590e7c9e393e,18.29%,1017MiB / 31.34GiB
2024-03-12 10:31:03,590e7c9e393e,13.63%,1018MiB / 31.34GiB
2024-03-12 10:31:05,590e7c9e393e,21.53%,1018MiB / 31.34GiB
2024-03-12 10:31:07,590e7c9e393e,18.49%,1018MiB / 31.34GiB
2024-03-12 10:31:09,590e7c9e393e,17.16%,1018MiB / 31.34GiB
2024-03-12 10:31:11,590e7c9e393e,13.16%,1018MiB / 31.34GiB
2024-03-12 10:31:13,590e7c9e393e,21.16%,1019MiB / 31.34GiB
2024-03-12 10:31:15,590e7c9e393e,15.13%,1019MiB / 31.34GiB
2024-03-12 10:31:17,590e7c9e393e,18.41%,1019MiB / 31.34GiB
2024-03-12 10:31:19,590e7c9e393e,14.64%,1020MiB / 31.34GiB
2024-03-12 10:31:21,590e7c9e393e,20.65%,1020MiB / 31.34GiB
2024-03-12 10:31:23,590e7c9e393e,14.88%,1020MiB / 31.34GiB
2024-03-12 10:31:25,590e7c9e393e,13.70%,1020MiB / 31.34GiB
2024-03-12 10:31:27,590e7c9e393e,15.63%,1021MiB / 31.34GiB
2024-03-12 10:31:29,590e7c9e393e,15.71%,1021MiB / 31.34GiB
2024-03-12 10:31:31,590e7c9e393e,10.42%,1021MiB / 31.34GiB
2024-03-12 10:31:33,590e7c9e393e,20.48%,1.014GiB / 31.34GiB
2024-03-12 10:31:35,590e7c9e393e,13.62%,1.014GiB / 31.34GiB
2024-03-12 10:31:37,590e7c9e393e,9.45%,1.014GiB / 31.34GiB
