Time,Container ID,CPU Usage (%),Memory Usage / Limit,Memory Usage (%)
2024-03-09 10:31:32,cbd02fa2bee4,13.00%,1.113GiB / 31.34GiB,3.55%
2024-03-09 10:31:36,cbd02fa2bee4,15.53%,1.114GiB / 31.34GiB,3.55%
2024-03-09 10:31:40,cbd02fa2bee4,14.96%,1.114GiB / 31.34GiB,3.56%
2024-03-09 10:31:43,cbd02fa2bee4,12.91%,1.114GiB / 31.34GiB,3.56%
2024-03-09 10:31:47,cbd02fa2bee4,1.21%,1.114GiB / 31.34GiB,3.56%
2024-03-09 10:31:50,cbd02fa2bee4,19.75%,1.114GiB / 31.34GiB,3.56%
2024-03-09 10:31:54,cbd02fa2bee4,8.07%,1.115GiB / 31.34GiB,3.56%
2024-03-09 10:31:57,cbd02fa2bee4,7.72%,1.115GiB / 31.34GiB,3.56%
2024-03-09 10:32:01,cbd02fa2bee4,8.32%,1.115GiB / 31.34GiB,3.56%
2024-03-09 10:32:04,cbd02fa2bee4,14.37%,1.122GiB / 31.34GiB,3.58%
2024-03-09 10:32:08,cbd02fa2bee4,10.43%,1.116GiB / 31.34GiB,3.56%
2024-03-09 10:32:11,cbd02fa2bee4,8.02%,1.117GiB / 31.34GiB,3.56%
2024-03-09 10:32:15,cbd02fa2bee4,11.77%,1.117GiB / 31.34GiB,3.56%
2024-03-09 10:32:18,cbd02fa2bee4,10.51%,1.117GiB / 31.34GiB,3.56%
2024-03-09 10:32:22,cbd02fa2bee4,1.16%,1.117GiB / 31.34GiB,3.57%
2024-03-09 10:32:25,cbd02fa2bee4,2.20%,1.117GiB / 31.34GiB,3.57%
2024-03-09 10:32:29,cbd02fa2bee4,13.82%,1.117GiB / 31.34GiB,3.57%
2024-03-09 10:32:32,cbd02fa2bee4,11.75%,1.118GiB / 31.34GiB,3.57%
2024-03-09 10:32:36,cbd02fa2bee4,14.30%,1.118GiB / 31.34GiB,3.57%
2024-03-09 10:32:39,cbd02fa2bee4,9.45%,1.118GiB / 31.34GiB,3.57%
2024-03-09 10:32:43,cbd02fa2bee4,12.97%,1.118GiB / 31.34GiB,3.57%
2024-03-09 10:32:47,cbd02fa2bee4,12.33%,1.118GiB / 31.34GiB,3.57%
2024-03-09 10:32:50,cbd02fa2bee4,10.98%,1.119GiB / 31.34GiB,3.57%
2024-03-09 10:32:54,cbd02fa2bee4,10.76%,1.119GiB / 31.34GiB,3.57%
2024-03-09 10:32:57,cbd02fa2bee4,7.31%,1.119GiB / 31.34GiB,3.57%
2024-03-09 10:33:01,cbd02fa2bee4,2.51%,1.119GiB / 31.34GiB,3.57%
2024-03-09 10:33:04,cbd02fa2bee4,14.60%,1.12GiB / 31.34GiB,3.57%
2024-03-09 10:33:08,cbd02fa2bee4,9.90%,1.12GiB / 31.34GiB,3.57%
2024-03-09 10:33:11,cbd02fa2bee4,14.10%,1.12GiB / 31.34GiB,3.57%
2024-03-09 10:33:15,cbd02fa2bee4,11.45%,1.12GiB / 31.34GiB,3.57%
2024-03-09 10:33:18,cbd02fa2bee4,9.79%,1.12GiB / 31.34GiB,3.58%
2024-03-09 10:33:22,cbd02fa2bee4,13.68%,1.121GiB / 31.34GiB,3.58%
2024-03-09 10:33:25,cbd02fa2bee4,13.55%,1.121GiB / 31.34GiB,3.58%
2024-03-09 10:33:29,cbd02fa2bee4,15.08%,1.121GiB / 31.34GiB,3.58%
2024-03-09 10:33:32,cbd02fa2bee4,14.26%,1.121GiB / 31.34GiB,3.58%
2024-03-09 10:33:36,cbd02fa2bee4,1.31%,1.121GiB / 31.34GiB,3.58%
2024-03-09 10:33:39,cbd02fa2bee4,16.53%,1.122GiB / 31.34GiB,3.58%
2024-03-09 10:33:43,cbd02fa2bee4,11.04%,1.122GiB / 31.34GiB,3.58%
2024-03-09 10:33:47,cbd02fa2bee4,13.40%,1.122GiB / 31.34GiB,3.58%
2024-03-09 10:33:50,cbd02fa2bee4,17.39%,1.122GiB / 31.34GiB,3.58%
2024-03-09 10:33:54,cbd02fa2bee4,10.80%,1.123GiB / 31.34GiB,3.58%
2024-03-09 10:33:57,cbd02fa2bee4,12.27%,1.123GiB / 31.34GiB,3.58%
2024-03-09 10:34:01,cbd02fa2bee4,11.94%,1.123GiB / 31.34GiB,3.58%
2024-03-09 10:34:04,cbd02fa2bee4,10.53%,1.137GiB / 31.34GiB,3.63%
2024-03-09 10:34:08,cbd02fa2bee4,17.56%,1.14GiB / 31.34GiB,3.64%
2024-03-09 10:34:11,cbd02fa2bee4,6.26%,1.141GiB / 31.34GiB,3.64%
2024-03-09 10:34:15,cbd02fa2bee4,3.62%,1.144GiB / 31.34GiB,3.65%
2024-03-09 10:34:18,cbd02fa2bee4,16.67%,1.145GiB / 31.34GiB,3.65%
2024-03-09 10:34:22,cbd02fa2bee4,6.10%,1.145GiB / 31.34GiB,3.65%
2024-03-09 10:34:25,cbd02fa2bee4,1.62%,1.145GiB / 31.34GiB,3.65%
2024-03-09 10:34:29,cbd02fa2bee4,6.13%,1.145GiB / 31.34GiB,3.65%
2024-03-09 10:34:32,cbd02fa2bee4,0.13%,1.136GiB / 31.34GiB,3.62%
